Population,Region,Coordinates,Latitude,Longitude,Anatolian Neolithic Farmer,Caucasus Hunter Gatherer,Zagrosian Neolithic Farmer,Natufian Hunter Gatherer,Eastern Hunter Gatherer,Western Hunter Gatherer,North African Neolithic Farmer,Ancient Ancestral South Indian,Amerindian,Melanesian,Australian Hunter Gatherer,Southeast Asian Neolithic Farmer,Arctic Hunter Gatherer,Amur River Hunter Gatherer,Jomon Hunter Gatherer,Yellow River Neolithic Farmer,East African Hunter Gatherer,South African Hunter Gatherer,West African Hunter Gatherer
Americas:Amerindian:Uros*(Peru),America,"-16.72547,-68.97119",-16.72547,-68.97119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Wichi,America,"-23.1633,-62.1757",-23.1633,-62.1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Yukpa,America,"9.67534,-73.0557",9.67534,-73.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas:Amerindian:Zapotec*(Mexico),America,"16.8258,-96.7263",16.8258,-96.7263,0.0,0.0,0.0,2.2,0.4,0.0,0.0,0.2,94.4,0.0,0.0,0.0,0.0,0.0,2.2,0.6,0.0,0.0,0.0
Americas:Arctic:Eskimo,East Asia,"69.582,-143.77",69.582,-143.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,8.6,0.0,0.0,0.0,0.0,0.0
Americas:Arctic:Eskimo*(Chaplin),East Asia,"63.4308,-170.272",63.4308,-170.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,13.0,0.0,0.0,0.0,0.0,0.0
Americas:Arctic:Eskimo*(Naukan),East Asia,"65.5184,-171.755",65.5184,-171.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,6.0,0.0,0.0,0.0,0.0,0.0
Americas:Arctic:Eskimo*(Sireniki),East Asia,"64.5192,-173.925",64.5192,-173.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.8,13.2,0.0,0.0,0.0,0.0,0.0
Balochi*and*Brahui:Balochi:Balochi,Central/South Asia,"28.0,62.0",28.0,62.0,15.0,0.0,61.4,0.0,14.4,0.0,0.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balochi*and*Brahui:Balochi:Makrani,Central/South Asia,"26.0,64.0",26.0,64.0,15.4,0.0,60.8,2.0,11.4,0.0,2.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
