Population,Region,Coordinates,Latitude,Longitude,Anatolian Neolithic Farmer,Caucasus Hunter Gatherer,Zagrosian Neolithic Farmer,Natufian Hunter Gatherer,Eastern Hunter Gatherer,Western Hunter Gatherer,North African Neolithic Farmer,Ancient Ancestral South Indian,Amerindian,Melanesian,Australian Hunter Gatherer,Southeast Asian Neolithic Farmer,Arctic Hunter Gatherer,Amur River Hunter Gatherer,Jomon Hunter Gatherer,Yellow River Neolithic Farmer,East African Hunter Gatherer,South African Hunter Gatherer,West African Hunter Gatherer
East*Asia:Han:Han*(Hubei),East Asia,"31.2,112.3",31.2,112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,1.4,82.2,0.0,0.0,0.0
East*Asia:Han:Han*(Jiangsu),East Asia,"32.9,119.8",32.9,119.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,91.8,0.0,0.0,0.0
East*Asia:Han:Han*(Shandong),East Asia,"36.4,118.4",36.4,118.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,4.4,2.6,88.4,0.0,0.0,0.0
East*Asia:Han:Han*(Shanghai),East Asia,"31.22861111,121.4747222",31.22861111,121.4747222,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,1.6,93.0,0.0,0.0,0.0
East*Asia:Han:Han*(Shanxi),East Asia,"37.7,112.4",37.7,112.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.2,2.6,0.0,6.8,0.0,88.4,0.0,0.0,0.0
East*Asia:Han:Han*(Sichuan),East Asia,"30.5,102.5",30.5,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0
East*Asia:Han:Han*(Zhejiang),East Asia,"29.2,120.5",29.2,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.2,88.0,0.0,0.0,0.0
East*Asia:Japanese:Japanese,East Asia,"35.0,135.0",35.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,62.0,0.0,0.0,0.0
East*Asia:Korean:Korean,East Asia,"37.54,126.98",37.54,126.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,5.0,77.4,0.0,0.0,0.0
East*Asia:Miao:Miao*(China),East Asia,"22.5638,101.95",22.5638,101.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,72.2,0.0,0.0,0.0
East*Asia:Mongol:Mongol*(Mongolia),East Asia,"48.32397,106.28874",48.32397,106.28874,2.2,0.4,5.6,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.8,0.0,0.8,0.0,0.0,0.0
East*Asia:Naxi:Naxi*(China),East Asia,"27.5,100.0",27.5,100.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,3.6,0.0,0.0,0.4,7.0,0.8,0.0,0.0,87.4,0.0,0.0,0.0
East*Asia:Qiang:Qiang*(Danba),East Asia,"30.95,101.85",30.95,101.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.6,0.0,1.4,2.2,0.0,92.8,0.0,0.0,0.0
East*Asia:Qiang:Qiang*(Daofu),East Asia,"30.98333333,101.1333333",30.98333333,101.1333333,0.0,1.6,0.0,0.2,0.0,0.0,0.0,4.0,0.0,0.6,0.0,0.0,1.8,13.0,0.0,78.8,0.0,0.0,0.0
East*Asia:She:She*(China),East Asia,"23.0399,114.814",23.0399,114.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan,East Asia,"28.3681,90.1872",28.3681,90.1872,0.0,2.4,0.0,0.4,0.0,0.0,0.0,8.6,0.0,0.0,0.4,0.0,2.4,12.6,0.0,73.2,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Chamdo),East Asia,"31.14305556,97.17",31.14305556,97.17,0.4,0.8,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.8,0.0,1.8,16.0,0.0,74.6,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Gangcha),East Asia,"37.31666667,100.15",37.31666667,100.15,0.0,2.0,3.8,0.0,0.0,1.2,0.0,4.2,0.0,0.0,0.4,0.0,1.4,24.4,0.0,62.6,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Gannan),East Asia,"35.00027778,102.9102778",35.00027778,102.9102778,1.8,4.6,2.4,0.0,0.0,0.2,0.0,2.2,0.0,0.0,0.0,1.6,1.2,7.6,0.0,78.4,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Lhasa),East Asia,"29.64861111,91.1175",29.64861111,91.1175,0.2,1.4,1.8,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.4,0.0,1.6,15.8,0.0,72.0,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Nagqu),East Asia,"31.47611111,92.05111111",31.47611111,92.05111111,0.0,1.6,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.4,17.4,0.0,71.6,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Shannan),East Asia,"29.23805556,91.77111111",29.23805556,91.77111111,0.4,0.8,2.8,0.6,0.0,0.0,0.0,6.2,0.0,0.0,1.4,0.0,2.8,14.0,0.0,71.0,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Shigatse),East Asia,"29.27722222,88.87555556",29.27722222,88.87555556,0.0,0.0,3.8,0.0,0.0,0.0,0.0,6.2,0.0,0.0,1.2,0.0,3.0,14.0,0.0,71.8,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Xinlong),East Asia,"30.93888889,100.3111111",30.93888889,100.3111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,7.6,1.4,2.8,0.0,84.6,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Xunhua),East Asia,"35.85111111,102.4891667",35.85111111,102.4891667,0.8,1.2,3.2,0.0,0.0,0.0,0.0,6.6,0.0,0.0,1.0,0.0,1.8,12.2,0.0,73.2,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Yajiang),East Asia,"30.03194444,101.0138889",30.03194444,101.0138889,0.0,2.2,0.8,0.4,0.0,0.0,0.0,3.0,0.0,0.0,1.2,0.0,1.8,8.0,0.0,82.6,0.0,0.0,0.0
East*Asia:Tibetan:Tibetan*(Yunnan),East Asia,"25.04944444,102.7088889",25.04944444,102.7088889,0.0,1.8,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,1.6,1.2,2.0,8.0,0.0,82.6,0.0,0.0,0.0
East*Asia:Tu:Tu*(China),East Asia,"36.97166667,103.1419444",36.97166667,103.1419444,1.8,1.2,3.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6,1.4,2.0,12.8,0.0,74.0,0.0,0.0,0.0
East*Asia:Tujia:Tujia*(China),East Asia,"29.3016,109.759",29.3016,109.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,78.8,0.0,0.0,0.0
East*Asia:Yi:Yi,East Asia,"28.1947,102.121",28.1947,102.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.2,0.8,11.4,1.8,0.0,0.0,83.0,0.0,0.0,0.0
East*Europe:Baltic:Latvian,Europe,"56.826108,24.309118",56.826108,24.309118,34.4,3.8,0.0,0.0,50.2,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(East*Aukstaitija),Europe,"55.59805556,26.43805556",55.59805556,26.43805556,38.0,3.4,0.0,0.0,49.4,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(North*Zemaitija),Europe,"56.31666667,22.33333333",56.31666667,22.33333333,35.4,4.0,0.0,0.0,48.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(South*Aukstaitija),Europe,"55.23333333,25.41666667",55.23333333,25.41666667,39.6,3.8,0.0,0.0,47.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(South*Zemaitija),Europe,"55.25222222,22.28972222",55.25222222,22.28972222,34.8,4.2,0.0,0.0,49.2,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(West*Aukstaitija),Europe,"55.73333333,24.35",55.73333333,24.35,38.4,4.4,0.0,0.0,46.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:Baltic:Lithuanian*(West*Zemaitija),Europe,"55.89,21.24222222",55.89,21.24222222,37.4,3.6,0.0,0.0,49.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Belarusian,Europe,"53.2307,25.6038",53.2307,25.6038,40.6,4.6,0.0,0.0,46.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Belgorod),Europe,"50.6,36.6",50.6,36.6,42.6,6.6,0.0,0.0,43.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Kaluga),Europe,"54.55,36.28333333",54.55,36.28333333,39.6,6.2,0.0,0.0,45.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Kostroma),Europe,"57.76805556,40.92694444",57.76805556,40.92694444,36.6,4.2,0.0,0.0,50.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.2,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Krasnoborsky),Europe,"61.55,45.93333333",61.55,45.93333333,35.0,3.2,0.0,0.0,50.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.2,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Kursk),Europe,"51.71666667,36.18333333",51.71666667,36.18333333,40.2,6.4,0.0,0.0,46.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Leshukonsky),Europe,"64.9,45.76666667",64.9,45.76666667,29.6,2.2,0.0,0.0,55.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Orel),Europe,"52.96861111,36.06944444",52.96861111,36.06944444,40.8,7.0,0.0,0.0,45.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Pinega),Europe,"64.7,43.395",64.7,43.395,32.0,1.4,0.0,0.0,53.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Pinezhsky),Europe,"64.06666667,44.45",64.06666667,44.45,31.6,1.8,0.0,0.0,53.8,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Pskov),Europe,"57.81666667,28.33333333",57.81666667,28.33333333,37.6,5.4,0.0,0.0,46.8,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Ryazan),Europe,"54.6,39.7",54.6,39.7,40.8,6.0,0.0,0.0,47.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Smolensk),Europe,"54.78277778,32.04527778",54.78277778,32.04527778,40.6,6.6,0.0,0.0,43.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Tver),Europe,"56.8625,35.92416667",56.8625,35.92416667,38.6,5.6,0.0,0.0,48.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Voronez),Europe,"51.67166667,39.21055556",51.67166667,39.21055556,41.8,5.8,0.0,0.0,44.8,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Russian*(Yaroslavl),Europe,"57.61666667,39.85",57.61666667,39.85,39.2,3.4,0.0,0.0,50.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Chernihiv),Europe,"51.49388889,31.29472222",51.49388889,31.29472222,42.0,5.8,0.0,0.0,44.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Dnipro),Europe,"48.4675,35.04",48.4675,35.04,42.0,6.2,0.0,0.0,45.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Donetsk),Europe,"48.00277778,37.80527778",48.00277778,37.80527778,42.4,6.4,0.0,0.0,44.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Kharkiv),Europe,"49.9925,36.23111111",49.9925,36.23111111,42.4,7.8,0.0,0.0,40.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Kiev),Europe,"50.45,30.52333333",50.45,30.52333333,42.0,6.6,0.0,0.0,46.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Rivne),Europe,"50.61916667,26.25194444",50.61916667,26.25194444,41.6,5.8,0.0,0.0,44.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Sumy),Europe,"50.91666667,34.75",50.91666667,34.75,43.0,6.0,0.0,0.0,43.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Volyn),Europe,"50.745,25.35361111",50.745,25.35361111,41.2,6.6,0.0,0.0,44.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Zhytomyr),Europe,"50.25,28.66666667",50.25,28.66666667,42.6,6.2,0.0,0.0,44.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Europe:East*Slavic:Ukrainian*(Zhytomyr),Europe,"50.25,28.66666667",50.25,28.66666667,42.6,5.4,0.0,0.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East*Siberia:Chukotko-Kamchatkan:Chukchi,East Asia,"68.6436,170.045",68.6436,170.045,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,26.8,0.0,0.0,0.0,0.0,0.0
East*Siberia:Chukotko-Kamchatkan:Itelmen,East Asia,"56.046173,156.30704",56.046173,156.30704,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2,41.8,0.0,0.0,0.0,0.0,0.0
East*Siberia:Chukotko-Kamchatkan:Koryak,East Asia,"63.8977,166.695",63.8977,166.695,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,42.6,0.0,0.0,0.0,0.0,0.0
East*Siberia:Even:Even,East Asia,"70.6687,130.914",70.6687,130.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,73.4,0.0,0.0,0.0,0.0,0.0
East*Siberia:Evenk:Evenk,East Asia,"61.97,94.69",61.97,94.69,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,76.6,0.0,0.0,0.0,0.0,0.0
East*Siberia:Evenk:Evenk*(Zabaykalsky),East Asia,"49.90888889,117.275",49.90888889,117.275,0.0,0.0,0.0,0.0,2.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.2,74.0,0.0,0.0,0.0,0.0,0.0
East*Siberia:Nganasan:Nganasan,East Asia,"73.1354,86.2106",73.1354,86.2106,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,61.4,0.0,0.0,0.0,0.0,0.0
East*Siberia:Yukaghir:Yukaghir*(Tundra),East Asia,"70.498,157.853",70.498,157.853,0.0,0.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,34.2,63.8,0.0,0.0,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Belarus),Europe,"53.9,27.56666667",53.9,27.56666667,50.8,9.8,10.6,12.6,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Germany),Europe,"52.52,13.405",52.52,13.405,51.8,9.4,11.6,15.0,12.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Lithuania),Europe,"54.68722222,25.28",54.68722222,25.28,50.4,9.4,11.8,12.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Poland),Europe,"52.23,21.01111111",52.23,21.01111111,50.2,10.4,10.0,14.2,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Russia),Europe,"55.75583333,37.61722222",55.75583333,37.61722222,50.6,10.4,9.6,12.4,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Ukraine),Europe,"46.48555556,30.74333333",46.48555556,30.74333333,50.2,10.0,10.0,13.6,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
European*Jew:Sephardic*Jew:Sephardic*Jew,Europe,"52.36666667,4.9",52.36666667,4.9,51.6,10.4,13.4,15.4,7.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Bulgaria),Europe,"42.7,23.33333333",42.7,23.33333333,52.2,8.8,15.0,14.4,7.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Greece),Europe,"40.64027778,22.93472222",40.64027778,22.93472222,49.6,8.0,11.6,19.8,9.8,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Turkey),Europe,"41.01361111,28.955",41.01361111,28.955,51.2,12.2,11.4,15.8,8.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horn*of*Africa:Beja:Beja*(Beni-Amer),Africa,"17.2436,36.6666",17.2436,36.6666,0.0,0.0,8.8,51.8,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,0.0
Horn*of*Africa:Beja:Beja*(Hadendowa),Africa,"15.45,36.4",15.45,36.4,0.0,0.2,7.4,45.4,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0
Horn*of*Africa:Eritrean:Eritrean,Africa,"15.32277778,38.925",15.32277778,38.925,0.0,0.0,5.8,51.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,0.0,0.0
Horn*of*Africa:Ethiopian:Afar*(Ethiopia),Africa,"12.2281,41.8083",12.2281,41.8083,0.0,0.0,5.6,46.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0
Horn*of*Africa:Ethiopian:Agaw*(Ethiopia),Africa,"12.4479,38.8352",12.4479,38.8352,0.0,0.0,4.0,48.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.4,0.0,0.0
Horn*of*Africa:Ethiopian:Amhara*(Ethiopia),Africa,"11.708182,39.543456",11.708182,39.543456,0.0,0.0,5.0,47.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.0,0.0
Horn*of*Africa:Ethiopian:Oromo*(Ethiopia),Africa,"9.03,38.74",9.03,38.74,0.0,0.0,3.4,39.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6,0.0,0.0
Horn*of*Africa:Somali:Somali*(Ethiopia),Africa,"9.35,42.8",9.35,42.8,0.0,0.0,2.0,32.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0,0.0
Horn*of*Africa:Somali:Somali*(Kenya),Africa,"1.0,40.25",1.0,40.25,0.0,0.0,1.0,32.4,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2,0.0,0.0
Horn*of*Africa:Somali:Somali*(Somalia),Africa,"4.778704,45.152856",4.778704,45.152856,0.0,0.0,2.0,33.8,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,0.0,0.0
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Lazio),Europe,"41.9,12.71666667",41.9,12.71666667,62.6,8.6,7.0,3.8,16.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Marche),Europe,"43.61694444,13.51666667",43.61694444,13.51666667,61.0,11.8,3.6,4.0,18.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Tuscany),Europe,"43.77138889,11.25416667",43.77138889,11.25416667,63.2,10.4,3.2,1.2,19.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Umbria),Europe,"43.11222222,12.38888889",43.11222222,12.38888889,62.8,10.6,5.2,2.0,18.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Carloforte),Europe,"39.15,8.3",39.15,8.3,65.2,8.8,3.0,0.0,17.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia),Europe,"45.65027778,13.77027778",45.65027778,13.77027778,60.4,9.0,0.0,0.0,26.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia*Sauris),Europe,"46.46666667,12.71666667",46.46666667,12.71666667,59.8,8.6,0.0,0.0,26.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia*Timau),Europe,"46.53333333,13.01666667",46.53333333,13.01666667,58.4,9.0,0.0,0.0,28.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Liguria),Europe,"44.41111111,8.932777778",44.41111111,8.932777778,61.0,12.4,0.0,0.0,20.6,4.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Lombardy),Europe,"45.58333333,9.916666667",45.58333333,9.916666667,65.0,9.4,0.0,0.0,22.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Lombardy*Bergamo),Europe,"45.695,9.67",45.695,9.67,64.6,8.8,0.0,0.0,22.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Piedmont*Val*Borbera),Europe,"44.7,8.883333333",44.7,8.883333333,63.4,10.0,2.0,0.0,21.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Trentino*Alto*Adige),Europe,"46.06666667,11.11666667",46.06666667,11.11666667,62.0,8.8,0.0,0.0,23.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Veneto),Europe,"45.73333333,11.85",45.73333333,11.85,62.2,9.6,0.0,0.0,23.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Veneto*Lessinia),Europe,"45.61666667,11.03333333",45.61666667,11.03333333,59.6,8.4,0.0,0.0,26.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
