Population,Region,Latitude,Longitude,Ancient North Eurasian,Basal East Eurasian,Caucasus Dzudzuana,East African Hunter Gatherer,East Eurasian,South African Hunter Gatherer,West African Hunter Gatherer,Western Hunter Gatherer
Central*Asia:Kyrgyz:Kyrgyz,Central/South Asia,42,74,21,0,14.2,0,64.8,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(Bishkek),Central/South Asia,42.87472222,74.61222222,21.2,0,14,0,64.8,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(China),Central/South Asia,39.71611111,76.16833333,21.6,0,13.4,0,65,0,0,0
Central*Asia:Kyrgyz:Kyrgyz*(Tajikistan),Central/South Asia,39.04,73.42,23.8,0,15,0,61.2,0,0,0
Central*Asia:Tajik:Pamiri*(Badakhshan),Central/South Asia,37.49166667,71.55583333,51.4,9.2,36.6,0,2.8,0,0,0
Central*Asia:Tajik:Pamiri*(Ishkashim),Central/South Asia,36.72722222,71.61166667,52,12.2,35.8,0,0,0,0,0
Central*Asia:Tajik:Pamiri*(Rushan),Central/South Asia,38,72.08333333,54.2,1.4,40.2,0,4.2,0,0,0
Central*Asia:Tajik:Pamiri*(Shugnan),Central/South Asia,37.61666667,71.45,54,4.6,38.4,0,3,0,0,0
Central*Asia:Tajik:Tajik,Central/South Asia,38.8213,68.5549,46,1.8,40.4,0,11.8,0,0,0
Central*Asia:Tajik:Tajik*(Ayni),Central/South Asia,39.3975,68.54055556,44.2,2.4,40.8,0,12.6,0,0,0
Central*Asia:Tajik:Tajik*(Hisor),Central/South Asia,38.52638889,68.53805556,46.4,0.4,39.6,0,13.6,0,0,0
Central*Asia:Tajik:Tajik*(Kulob),Central/South Asia,37.90916667,69.78194444,48.4,2,40.4,0,9.2,0,0,0
Central*Asia:Tajik:Yaghnobi,Central/South Asia,39.1486,69.2422,50.6,0,46.4,0,3,0,0,0
Central*Asia:Turkmen:Turkmen,Central/South Asia,37.08719,59.17574,34.6,0,39.4,0,26,0,0,0
Central*Asia:Turkmen:Turkmen*(Golestan),Central/South Asia,36.83916667,54.44444444,34.8,0,44,0.4,20.8,0,0,0
Central*Asia:Turkmen:Turkmen*(Uzbekistan),Central/South Asia,42.46666667,59.6,34,0,38.2,0,27.8,0,0,0
Central*Asia:Uyghur:Uyghur*(China),Central/South Asia,43.88,87.38,30.2,0,23.8,0,46,0,0,0
Central*Asia:Uzbek:Uzbek,Central/South Asia,40.886,69.211,35.2,0,28.6,0,36.2,0,0,0
Central*Asia:Uzbek:Uzbek*(Khorezm),Central/South Asia,41.33333333,61,33.2,0,32.4,0,34.4,0,0,0
Central*Asia:Uzbek:Uzbek*(Tashkent),Central/South Asia,41.3,69.26666667,35,0,31.8,0,33.2,0,0,0
Central*Europe:Austria:Austrian,Europe,48.24,13.89,29,0,54.8,0,0,0,0,16.2
Central*Europe:Germany:German,Europe,48.649,12.4676,29,0,53.2,0,0,0,0,17.8
Central*Europe:Germany:German*(Bavaria),Europe,49.07861111,11.38555556,29,0,54,0,0,0,0,17
Central*Europe:Germany:German*(Hamburg),Europe,53.55,10,30.2,0,50.2,0,0,0,0,19.6
Crimea:Crimean*Tatar:Crimean*Tatar*(Steppe),Europe,45,34.08,31,0,39.2,0,27,0,0,2.8
East-Central*Europe:Hungary:Hungarian,Europe,46.90685857,19.65552714,31,0,53.4,0,0,0,0,15.6
East-Central*Europe:West*Slavic:Czech,Europe,49.873398,15.10437,31,0,50.4,0,0,0,0,18.6
East-Central*Europe:West*Slavic:Polish,Europe,51.8439,18.6255,32.4,0,47,0,0,0,0,20.6
East-Central*Europe:West*Slavic:Slovakian,Europe,48.545705,18.78479,32,0,49.2,0,0,0,0,18.8
East*Asia:Amur*Basin:Nanai,East Asia,48.43426,134.79726,0,0,0,0,100,0,0,0
