Population,Region,Latitude,Longitude,Ancient North Eurasian,Basal East Eurasian,Caucasus Dzudzuana,East African Hunter Gatherer,East Eurasian,South African Hunter Gatherer,West African Hunter Gatherer,Western Hunter Gatherer
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(West),Europe,37.79805556,12.43416667,22.6,0,75.6,1.8,0,0,0,0
North*Africa:Egypt:Copt,Middle East,29.472,31.2053,5,1.2,77.2,15.4,1.2,0,0,0
North*Africa:Egypt:Egyptian,Middle East,31,31,8.4,1.8,69.2,20.6,0,0,0,0
North*Africa:Egypt:Egyptian*(Cairo),Middle East,30.03333333,31.23333333,9.4,0.8,68.6,21.2,0,0,0,0
North*Africa:Egypt:Egyptian*(Kafar*Sheikh),Middle East,31.11166667,30.94583333,8.4,3.6,69,19,0,0,0,0
North*Africa:Egypt:Egyptian*(Mansoura),Middle East,31.04027778,31.38277778,8.6,0.6,69.6,20,1.2,0,0,0
North*Africa:Egypt:Egyptian*(Tanta),Middle East,30.78333333,31,8.6,1.8,71.2,18.4,0,0,0,0
North*Africa:Maghreb:Algerian,Middle East,35.4208,3.23033,8.2,0.6,67.6,23.4,0,0,0,0.2
North*Africa:Maghreb:Algerian*(Algiers),Middle East,36.75388889,3.058888889,7.8,0.2,66,26,0,0,0,0
North*Africa:Maghreb:Algerian*Berber*(Kabyle),Middle East,36.4103,4.76137,7.8,1.2,69.2,20.6,0,0,0,1.2
North*Africa:Maghreb:Algerian*Berber*(Mozabite),Middle East,32.5014,3.85035,5.4,0.6,66,27.4,0,0,0,0.6
North*Africa:Maghreb:Algerian*Berber*(Shawiya),Middle East,35.1867,6.88901,7,0,71,21.8,0,0,0,0.2
North*Africa:Maghreb:Algerian*Berber*(Timimoun),Middle East,29.26277778,-0.2388888889,5.6,0.8,61.8,31.8,0,0,0,0
North*Africa:Maghreb:Libyan,Middle East,32.86666667,13.18333333,7.4,1,67.8,23.4,0.4,0,0,0
North*Africa:Maghreb:Moroccan,Middle East,32.5,-7.5,7.2,1,65.6,26,0,0,0,0.2
North*Africa:Maghreb:Moroccan*(Casablanca),Middle East,33.53333333,-7.583333333,5.4,1.4,62.8,30.4,0,0,0,0
North*Africa:Maghreb:Moroccan*(Chefchaouen),Middle East,35.17138889,-5.269722222,6.4,1.2,66.8,21.6,0,0,0,4
North*Africa:Maghreb:Moroccan*(Errachidia),Middle East,31.93194444,-4.424444444,4.2,0.6,65.8,27.6,0,0,0,1.8
North*Africa:Maghreb:Moroccan*(Fassi),Middle East,33.93138889,-4.677222222,15.6,0,69.6,14.8,0,0,0,0
North*Africa:Maghreb:Moroccan*(Jebala),Middle East,34.8,-5.583333333,7.8,0,67.8,18.2,0.6,0,0,5.6
North*Africa:Maghreb:Moroccan*(Ouarzazate),Middle East,30.91666667,-6.916666667,3.2,1,64.2,30.8,0,0,0,0.8
North*Africa:Maghreb:Moroccan*(Oujda),Middle East,34.68916667,-1.911388889,7.4,1.4,68.6,22.6,0,0,0,0
North*Africa:Maghreb:Moroccan*Berber*(Central*Atlas*Tamazight),Middle East,32.68,-4.73,5.6,0.2,67.6,25.4,0,0,0,1.2
North*Africa:Maghreb:Moroccan*Berber*(Eastern*Middle*Atlas*Tamazight),Middle East,34.03333333,-5,7.4,0,68.8,22,0,0,0,1.8
North*Africa:Maghreb:Moroccan*Berber*(Errachidia),Middle East,31.93194444,-4.424444444,4.2,1,64.2,30,0,0,0,0.6
North*Africa:Maghreb:Moroccan*Berber*(Ghomara),Middle East,34.7979,-4.6696,5.6,1,69.6,21,0,0,0,2.8
North*Africa:Maghreb:Moroccan*Berber*(Riffian),Middle East,34.9167,-2.3167,7.4,0.4,68.8,21.4,0,0,0,2
North*Africa:Maghreb:Moroccan*Berber*(Senhaja*de*Srair),Middle East,34.9992,-4.51293,6.6,0,69.4,21.2,0,0,0,2.8
North*Africa:Maghreb:Moroccan*Berber*(Shilha),Middle East,29.7854,-7.77879,1.2,2.6,67.6,27.2,0,0,0,1.4
North*Africa:Maghreb:Moroccan*Berber*(Tiznit),Middle East,29.71666667,-9.716666667,1,2.2,67.6,28,0,0,0,1.2
North*Africa:Maghreb:Saharawi,Middle East,25,-13,1.8,2.2,65.8,30.2,0,0,0,0
North*Africa:Maghreb:Tunisian*(Bizerte),Middle East,37.27777778,9.863888889,13,0.6,66,19.8,0,0,0,0.6
North*Africa:Maghreb:Tunisian*(Jendouba),Middle East,36.5,8.783333333,6.2,0.4,61.8,31.6,0,0,0,0
North*Africa:Maghreb:Tunisian*(Tunis,Middle East,36.80638889,10.18166667,7.2,1.6,66.2,25,0,0,0,0
North*Africa:Maghreb:Tunisian*Berber*(Chenini),Middle East,32.91027778,10.26222222,6.4,1.2,70.4,22,0,0,0,0
North*Africa:Maghreb:Tunisian*Berber*(Matmata),Middle East,33.5425,9.966666667,6.6,1.8,70.4,21.2,0,0,0,0
North*Africa:Maghreb:Tunisian*Berber*(Sened),Middle East,34.46666667,9.266666667,6.2,2,68.2,23.6,0,0,0,0
North*Africa:Maghreb:Tunisian*Berber*(Tamezret),Middle East,33.53833333,9.865277778,5.4,2.4,69.6,22.6,0,0,0,0
North*Africa:Maghreb:Tunisian*Berber*(Zraoua),Middle East,33.57388889,9.823888889,6.6,1.6,69.8,22,0,0,0,0
Northwest*Europe:Belgium:Belgian,Europe,50.83333333,4,27.4,0,56.4,0,0,0,0,16.2
Northwest*Europe:British*Isles:Cornish,Europe,50.5233,-4.18619,28.6,0,52.2,0,0,0,0,19.2
Northwest*Europe:British*Isles:English,Europe,53,-1,29.2,0,51.8,0,0,0,0,19
Northwest*Europe:British*Isles:Irish,Europe,53.2186,-7.61509,31,0,50,0,0,0,0,19
Northwest*Europe:British*Isles:Scottish,Europe,56.7574,-5.24366,30.6,0,50.6,0,0,0,0,18.8
Northwest*Europe:British*Isles:Welsh,Europe,52,-4,29,0,52,0,0,0,0,19
Northwest*Europe:Brittany:Breton,Europe,48.2452,-3.78934,28.2,0,53.4,0,0,0,0,18.4
Northwest*Europe:French*(Oïl):French*(Grand*Est*Ardennes),Europe,49.5,4.666666667,27,0,57.2,0,0,0,0,15.8
Northwest*Europe:French*(Oïl):French*(Hauts-de-France*Nord),Europe,50.38333333,3.316666667,26.4,0,57.8,0,0,0,0,15.8
Northwest*Europe:French*(Oïl):French*(Hauts-de-France*Pas-de-Calais),Europe,50.95,1.85,26.4,0,56.8,0,0,0,0,16.8
Northwest*Europe:French*(Oïl):French*(Hauts-de-France*Somme),Europe,49.88333333,2.416666667,26.4,0,55.8,0,0,0,0,17.8
Northwest*Europe:French*(Oïl):French*(Normandy*Calvados),Europe,49.03333333,0.25,25.8,0,56.6,0,0,0,0,17.6
Northwest*Europe:French*(Oïl):French*(Normandy*Eure),Europe,49.08333333,1,28,0,56.4,0,0,0,0,15.6
Northwest*Europe:French*(Oïl):French*(Normandy*Manche),Europe,49.05,1.25,26.8,0,55,0,0,0,0,18.2
Northwest*Europe:French*(Oïl):French*(Normandy*Seine-Maritime),Europe,49.66666667,0.8333333333,29,0,53.2,0,0,0,0,17.8
Northwest*Europe:French*(Oïl):French*(Pays*de*la*Loire*Maine-et-Loire),Europe,47.45,-0.6,26.2,0,55.2,0,0,0,0,18.6
Northwest*Europe:Netherlands:Dutch,Europe,52,5,30,0,51.4,0,0,0,0,18.6
Northwest*Europe:Scandinavia:Danish,Europe,54.8655,9.36284,30.6,0,49,0,0,0,0,20.4
Northwest*Europe:Scandinavia:Norwegian,Europe,59.92,10.71,31.6,0,48,0,0,0,0,20.4
Northwest*Europe:Scandinavia:Norwegian*(Bergen),Europe,60.38944444,5.33,32.4,0,47.6,0,0,0,0,20
Northwest*Europe:Scandinavia:Swedish,Europe,59.800634,17.389526,32.4,0,46.2,0,0,0,0,21.4
Oceanian:Australasia:Australian,Oceania,-26.9704,131.357,0,100,0,0,0,0,0,0
Oceanian:Australasia:Baining,Oceania,-4.46941,151.98,0,100,0,0,0,0,0,0
Oceanian:Melanesia:Ni-Vanuatu,Oceania,-17.73333333,168.3166667,0,100,0,0,0,0,0,0
Oceanian:Polynesia:Papuan*(Coastal),Oceania,-9.478888889,147.1494444,0,100,0,0,0,0,0,0
Oceanian:Polynesia:Papuan*(Highland),Oceania,-4.0975,138.9511111,0,100,0,0,0,0,0,0
Oceanian:Polynesia:Tahitian,Oceania,-17.6485,-149.45,0,45,0,0,55,0,0,0
Oceanian:Polynesia:Tongan,Oceania,-21.17,-175.25,0,55.4,0,0,44.6,0,0,0
Roma:Balkan*Roma:Roma*(Bosnia*and*Herzegovina),Europe,44.87722222,18.81111111,32.6,15,52.4,0,0,0,0,0
Roma:Balkan*Roma:Roma*(Turkey*Balkans),Europe,42.67,21.17,28.8,18.6,52.6,0,0,0,0,0
Roma:Iberian*Roma:Roma*(Portugal*Porto),Europe,41.16194444,-8.621944444,31.2,14,54.4,0.4,0,0,0,0
Roma:Iberian*Roma:Roma*(Spain*Bilbao),Europe,43.25694444,-2.923611111,31,14.4,54.6,0,0,0,0,0
Roma:Iberian*Roma:Roma*(Spain*Granada),Europe,37.17805556,-3.600833333,29.8,15.2,54,1,0,0,0,0
Roma:Iberian*Roma:Roma*(Spain*Madrid),Europe,40.41666667,-3.7025,31.2,13.6,55,0,0,0,0.2,0
Saami:Saami:Saami*(Finland),Europe,69.4229,27.8658,43.8,0,23.8,0,14,0,0,18.4
Saami:Saami:Saami*(Kola),Europe,68.2158,35.8348,43.2,0,26.2,0,10.4,0,0,20.2
Saami:Saami:Saami*(Norway),Europe,69.222267,20.615579,44.4,0,19,0,17.6,0,0,19
Saami:Saami:Saami*(Sweden),Europe,67.2759,17.8057,45.2,0,19.6,0,17.2,0,0,18
Sardinia:Sardinian:Sardinian,Europe,40,9,3.2,0,83.2,0,0,0,0,13.6
Sardinia:Sardinian:Sardinian*(Benetutti),Europe,40.45,9.166666667,5,0,82.8,0,0,0,0,12.2
Sardinia:Sardinian:Sardinian*(North),Europe,41,9.3,3.6,0,83,0,0,0,0,13.4
Sardinia:Sardinian:Sardinian*(Sulcis-Iglesiente),Europe,39.11611111,8.7,6.8,0,82.8,0,0,0,0,10.4
South*Asia:Andaman*Islands:Jarawa,Central/South Asia,11.6089,92.658,0.6,99.4,0,0,0,0,0,0
South*Asia:Andaman*Islands:Onge,Central/South Asia,10.6926,92.4707,0.2,99.8,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Awadhi*Muslim,Central/South Asia,27.5907,82.4663,39,34.2,26.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Balti,Central/South Asia,34.4491,77.2859,33.8,39.4,19.6,0,7.2,0,0,0
South*Asia:Indian*Subcontinent:Bania*(Gupta),Central/South Asia,26.6,73.8,35.8,48.6,15.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Bengali*(Bangladesh),Central/South Asia,24,90,28.4,59.6,12,0,0,0,0,0
South*Asia:Indian*Subcontinent:Bengali*(Southeast*Bangladesh),Central/South Asia,22.3185,92.5073,29.8,57.6,12.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Bengali*(Sylhet),Central/South Asia,24.9,91.86666667,30.4,56,13.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Bhumij,Central/South Asia,22.552,85.804,10.2,89.8,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Birhor,Central/South Asia,23.585,85.5611,6.2,93.8,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Bonda,Central/South Asia,18.35,81.9,0,100,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Andhra*Pradesh),Central/South Asia,14.90277778,79.09,39,41.4,19.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Bihar*Bhumihar),Central/South Asia,25.4,85.1,43.8,32.6,23.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Gujarat),Central/South Asia,23.22,72.655,45.4,30.6,24,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Himachal*Pradesh),Central/South Asia,31.10333333,77.17222222,44.4,31.8,23.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Jammu),Central/South Asia,32.73333333,74.86666667,46,29.8,24.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Karnataka*Kannadi),Central/South Asia,13.5878,76.1198,39,39,22,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Kerala*Kurichiya),Central/South Asia,11.86888889,75.35555556,22.8,68.4,8.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Madhesi),Central/South Asia,27.48138889,83.27583333,44.4,35.8,19.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Potohar),Central/South Asia,32.96666667,72.25,46.4,28.2,25.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Tamil*Nadu),Central/South Asia,13.0825,80.27055556,40,39.4,20.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Tamil*Nadu*Iyer),Central/South Asia,11.52888889,78.75083333,39.4,40.2,20.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Telugu),Central/South Asia,16.4529,78.7024,39.8,36.8,23.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(Uttar*Pradesh),Central/South Asia,26.85,80.91666667,43,36.4,20.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*(West*Bengal),Central/South Asia,22.56666667,88.36666667,40.2,40,19.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*Khas*(Nepal),Central/South Asia,28,85,43.6,33.2,23.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Brahmin*Malayalam*(Nambudiri),Central/South Asia,10,76,41.8,38,20.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Chamar,Central/South Asia,21.3532,79.6232,32.4,55.8,11.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Chenchu,Central/South Asia,15.8787,79.2534,27,61.2,11.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Chhattisgarhi,Central/South Asia,20.3601,82.0483,31.8,55,13.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Cochin*Jew,Central/South Asia,9.966666667,76.28333333,32,40.8,27.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Dakhni*Muslim*(Hyderabad),Central/South Asia,17.36166667,78.47472222,33.4,44.8,21.6,0.2,0,0,0,0
South*Asia:Indian*Subcontinent:Dalit*(Tamil*Nadu),Central/South Asia,10.78694444,79.13777778,27,63.2,9.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Dharkar,Central/South Asia,26.6,83.19,34.8,48.8,16.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Dusadh,Central/South Asia,23.35,85.33333333,33.2,54.2,12.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gond,Central/South Asia,18.1632,81.3842,13.8,83,3.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gujar*(India),Central/South Asia,27.54972222,76.63555556,45.6,28.6,25.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gujar*(Pakistan),Central/South Asia,32.15666667,74.19,48,24,28,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gujarati,Central/South Asia,22.687,71.0962,40.6,40.8,18.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gujarati*(Patel),Central/South Asia,23.01666667,73.06666667,39.6,42.4,18,0,0,0,0,0
South*Asia:Indian*Subcontinent:Gujarati*Muslim*(Ismaili),Central/South Asia,23.915,70.36694444,50,19.4,30,0.6,0,0,0,0
South*Asia:Indian*Subcontinent:Gujarati*Muslim*(Sunni),Central/South Asia,22.3,70.78333333,38.6,30,31,0.4,0,0,0,0
South*Asia:Indian*Subcontinent:Ho,Central/South Asia,23.9596,87.1188,5.4,94.6,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Irula,Central/South Asia,12.70645,79.95209,22,69.2,8.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Jatt*(Haryana),Central/South Asia,30.73333333,76.78333333,51.8,19,29.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Juang,Central/South Asia,21.2606,85.5845,0,100,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kadar,Central/South Asia,11.0602,76.7285,18.4,76.2,5.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kamboj,Central/South Asia,29.96388889,77.54611111,46.6,21,32.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kanjar,Central/South Asia,25.6999,74.7355,39.4,45,15.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kapu,Central/South Asia,16.95,82.25,28.8,58.8,12.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kashmiri,Central/South Asia,34.166825,74.330455,42.2,32.4,25.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kashmiri*(Pakistan),Central/South Asia,33.84333333,73.85138889,45,28.6,26.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kashmiri*(Pandit),Central/South Asia,34.03333333,74.66666667,46.4,26.8,26.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Khatri,Central/South Asia,30.91666667,75.85,47.8,22.4,29.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kohistani,Central/South Asia,35.3389,73.0154,47,24.8,28.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kol,Central/South Asia,23.03,85.85,36.6,46.8,16.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Konkani*(Christian),Central/South Asia,12.85611111,74.83638889,31.8,54.4,13.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Korwa,Central/South Asia,23.4102,83.8142,6.6,93.4,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Kurumba,Central/South Asia,11.3824,76.5256,30,55.4,14.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Madiga*(Andhra*Pradesh),Central/South Asia,16.30083333,80.44277778,26.6,63.6,9.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Mala*(Andhra*Pradesh),Central/South Asia,15.33333333,79.55,26.6,65.2,8.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Malayalam*Thiyya,Central/South Asia,12.01666667,75.28333333,30.4,51.2,18.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Malayan,Central/South Asia,10.15,76.73333333,17.8,76.8,5.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Maratha,Central/South Asia,17.9344,76.6665,31,55.8,13.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Mumbai*Jew,Central/South Asia,19.07611111,72.8775,31.2,31.2,37.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:North*Kannadi,Central/South Asia,9.95,76.81666667,28.6,62.6,8.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Paniya,Central/South Asia,11.7318,76.0779,16.8,79.2,4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Piramalai,Central/South Asia,11.23333333,78.88333333,32.4,54.2,13.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Pulliyar,Central/South Asia,9.983333333,76.28333333,18,74.2,7.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Arain*(India),Central/South Asia,31.63333333,74.86666667,48,23.8,28.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Arain*(Pakistan),Central/South Asia,28.26666667,69.35,45.2,25.8,29,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Christian*(India),Central/South Asia,31.91666667,75.25,32.6,54.8,12.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Gujar*(Pakistan),Central/South Asia,33.6,73.03333333,47.4,23.8,28.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Jatt,Central/South Asia,29.5534,71.906,49,22.8,28.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Muslim*(India),Central/South Asia,30.51666667,75.88333333,38.8,31.4,29.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Punjabi*Ramgarhia*Sikh,Central/South Asia,30.96638889,76.53305556,45.6,26.6,27.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Rajasthani*(Meghwal),Central/South Asia,21.82,75.61861111,41.4,38.8,19.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Rajput*(Himachal*Pradesh),Central/South Asia,32.08805556,76.25777778,27,59.4,13.6,0,0,0,0,0
South*Asia:Indian*Subcontinent:Rajput*(Rajasthan),Central/South Asia,26.6,73.8,40.4,37.2,22.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Rajput*(Uttar*Pradesh*Muslim),Central/South Asia,27.23333333,79.01666667,39.2,41.8,19,0,0,0,0,0
South*Asia:Indian*Subcontinent:Relli,Central/South Asia,18.1213,82.4996,25.6,62.2,12.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Ror,Central/South Asia,29.68611111,76.98888889,53.6,16.2,30.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Sakilli,Central/South Asia,11.66388889,78.14611111,28.4,60.2,11.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Santhal*(Bangladesh),Central/South Asia,25,89,10.2,88.6,1.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Santhal*(India),Central/South Asia,20.26666667,85.81666667,9.4,90.6,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Savara,Central/South Asia,19.1213,84.19,2.2,97.8,0,0,0,0,0,0
South*Asia:Indian*Subcontinent:Sindhi,Central/South Asia,26,69,45.2,24.4,30.4,0,0,0,0,0
South*Asia:Indian*Subcontinent:Sri*Lankan,Central/South Asia,7,81,31.6,53.6,14.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Tamil*(Sri*Lanka),Central/South Asia,9.2,80.41666667,31.8,54,14.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Telugu,Central/South Asia,16.4529,78.7024,33.6,51.4,15,0,0,0,0,0
South*Asia:Indian*Subcontinent:Velamas,Central/South Asia,19.38333333,85.06666667,34.4,49.4,16.2,0,0,0,0,0
South*Asia:Indian*Subcontinent:Vellalar,Central/South Asia,10.78333333,78.68333333,33.2,51,15.8,0,0,0,0,0
South*Asia:Indian*Subcontinent:Western*Uttar*Pradeshi*Jatt*Muslim,Central/South Asia,28.05,79.11666667,50.4,18.6,31,0,0,0,0,0
South*Asia:Indian*Subcontinent:Yadava,Central/South Asia,27.4925,77.67361111,31.4,54.8,13.8,0,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(Afghanistan),Central/South Asia,31.5,65.7,47.4,13.6,38.6,0.4,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(Kabul),Central/South Asia,34.52527778,69.17833333,46.8,16.4,36.8,0,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(Kandahar),Central/South Asia,31.62,65.71583333,47.4,12.8,39.6,0.2,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(North),Central/South Asia,34,71.33,46.2,15.8,38,0,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(Tarkalani),Central/South Asia,34.68333333,71.5,48,17.2,34.8,0,0,0,0,0
South*Central*Asia:Pashtun:Pashtun*(Yusufzai),Central/South Asia,34,71.31666667,47.6,18.6,33.8,0,0,0,0,0
South*Siberia:Altaian:Altai-Kizhi,Central/South Asia,50.91666667,86.91666667,23.4,0,6.6,0,70,0,0,0
South*Siberia:Altaian:Tubalar,Central/South Asia,51.78333333,87.25,37.8,0,10.6,0,51.6,0,0,0
South*Siberia:Khakass:Khakass,Central/South Asia,53.5,90,33.8,0,7.6,0,58.6,0,0,0
South*Siberia:Khakass:Khakass*(Koibals),Central/South Asia,52.99111111,90.35611111,29.4,0,5,0,65.6,0,0,0
South*Siberia:Shor:Shor,Central/South Asia,52.32607,88.4344,39.2,0,7.8,0,53,0,0,0
South*Siberia:Shor:Shor*(Mountain),Central/South Asia,52.83833333,87.93722222,40.4,0,8.2,0,51.4,0,0,0
South*Siberia:Teleut:Teleut,Central/South Asia,54.93333333,87.23333333,30.6,0,9.4,0,60,0,0,0
Southeast*Asia:Brunei:Dusun*(Brunei),Oceania,5.25,117,0,15.2,0,0,84.8,0,0,0
Southeast*Asia:Brunei:Murut*(Brunei),Oceania,4.583333333,115.1666667,0,13.4,0,0,86.6,0,0,0
Southeast*Asia:Burma:Burmese,East Asia,20.7926,93.9665,0,38.4,0.4,0,61.2,0,0,0
Southeast*Asia:Cambodia:Cambodian,East Asia,11.55,104.9166667,0,31.2,0,0,68.8,0,0,0
Southeast*Asia:China:Dai*(China),East Asia,22,100.8,0,7.4,0,0,92.6,0,0,0
Southeast*Asia:China:Gelao,East Asia,27.00861111,106.0322222,0,4.6,0,0,95.4,0,0,0
Southeast*Asia:China:Lahu*(China),East Asia,22.55611111,99.93194444,0,10.2,0,0,89.8,0,0,0
Southeast*Asia:China:Li*(China),East Asia,19.2,109.7,0,1.8,0,0,98.2,0,0,0
Southeast*Asia:China:Maonan*(China),East Asia,25.0169,108.024,0,0.8,0,0,99.2,0,0,0
Southeast*Asia:China:Mulam*(China),East Asia,24.8151,108.928,0,0,0,0,100,0,0,0
Southeast*Asia:China:Zhuang*(China),East Asia,23.6,108.3,0,0.6,0,0,99.4,0,0,0
Southeast*Asia:Indonesia:Anakalangu*(Indonesia),Oceania,-9.63425,119.605,0,63,0,0,37,0,0,0
Southeast*Asia:Indonesia:Bajo,Oceania,-5.535833333,123.7580556,0,51,0,0,49,0,0,0
Southeast*Asia:Indonesia:Balinese*(Indonesia),Oceania,-8.35714,115.075,0,40,0,0,60,0,0,0
Southeast*Asia:Indonesia:Javanese*(Indonesia),Oceania,-7.001,109.287,0,36.2,0,0,63.8,0,0,0
Southeast*Asia:Indonesia:Kambera*(Rindi),Oceania,-9.88447,120.235,0,62,0,0,38,0,0,0
Southeast*Asia:Indonesia:Lamaholot*(Bama),Oceania,-8.2836,124.3033,0,87.6,0,0,12.4,0,0,0
Southeast*Asia:Indonesia:Lamaholot*(Hadakewa),Oceania,-8.3698,123.5473,0,91.4,0,0,8.6,0,0,0
Southeast*Asia:Indonesia:Lebbo*(Indonesia),Oceania,1.05,116.3166667,0,27.8,0,0,72.2,0,0,0
Southeast*Asia:Indonesia:Mandar*(Indonesia),Oceania,-3.34717,119.068,0,32.4,0,0,67.6,0,0,0
Southeast*Asia:Indonesia:Mentawai*(Indonesia),Oceania,-1.41092,98.9401,0,16.4,0,0,83.6,0,0,0
Southeast*Asia:Indonesia:Ngadha*(Indonesia),Oceania,-8.79508,120.976,0,86.2,0,0,13.8,0,0,0
Southeast*Asia:Indonesia:Nias*(Indonesia),Oceania,0.90691,97.4961,0,15.6,0,0,84.4,0,0,0
Southeast*Asia:Indonesia:Rampasasa*(Manggarai),Oceania,-8.612777778,120.4625,0,67.6,0,0,32.4,0,0,0
Southeast*Asia:Indonesia:Tetum*(Kamanasa),Oceania,-9.535003546,124.9185898,0,90.6,0,0,9.4,0,0,0
Southeast*Asia:Indonesia:Tetum*(Umaklaran),Oceania,-9.088199064,124.9450339,0,86.2,0,0,13.8,0,0,0
Southeast*Asia:Indonesia:Tetum*(Umanenlawalu),Oceania,-9.583366475,124.9146133,0,86,0,0,14,0,0,0
Southeast*Asia:Indonesia:Toba*Batak*(Indonesia),Oceania,2.35498,99.1761,0,40.6,0,0,59.4,0,0,0
Southeast*Asia:Laos:Lao*(Laos),East Asia,19,102.46,0,25.2,0,0,74.8,0,0,0
Southeast*Asia:Laos:Mal*(Htin),East Asia,19.25,101.75,0,29.2,0,0,70.8,0,0,0
Southeast*Asia:Malaysia:Jehai,East Asia,5.63695,101.541,0,85.6,0,0,14.4,0,0,0
